,abbreviation,alt_color,alt_name1,alt_name2,alt_name3,color,conference,division,id,logos,mascot,school
401,MON,,,MON,Monmouth (IL),#000000,,,2919,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2919.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2919.png']",Fighting Scots,Monmouth (IL)
402,MONT,#666666,,MONT,Montana,#751D4A,,,149,"['http://a.espncdn.com/i/teamlogos/ncaa/500/149.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/149.png']",Grizzlies,Montana
403,MTST,#bf965c,,MTST,Montana State,#003875,,,147,"['http://a.espncdn.com/i/teamlogos/ncaa/500/147.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/147.png']",Bobcats,Montana State
404,MWST,,,MWST,Montana-Western,#000000,,,2701,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2701.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2701.png']",Bulldogs,Montana-Western
405,MON,,,MON,Montclair St,#000000,,,2818,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2818.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2818.png']",Red Hawks,Montclair State
406,MON,,,MON,Monterrey Tech,#000000,,,3100,"['http://a.espncdn.com/i/teamlogos/ncaa/500/3100.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/3100.png']",Rams,Monterrey Tech
407,MOR,,,MOR,Moravian,#000000,,,323,"['http://a.espncdn.com/i/teamlogos/ncaa/500/323.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/323.png']",Greyhounds,Moravian
408,MORE,#fed91a,,MORE,Morehead State,#094FA3,,,2413,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2413.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2413.png']",Eagles,Morehead State
409,MOR,,,MOR,Morehouse,#000000,,,60,"['http://a.espncdn.com/i/teamlogos/ncaa/500/60.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/60.png']",Tigers,Morehouse
410,MORG,#f47937,,MORG,Morgan State,#014786,,,2415,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2415.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2415.png']",Bears,Morgan State
411,MAO,,,MAO,Morningside,#000000,,,2416,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2416.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2416.png']",Chiefs,Morningside
412,MOR,,,MOR,Morrisville St,#000000,,,3110,"['http://a.espncdn.com/i/teamlogos/ncaa/500/3110.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/3110.png']",Mustangs,Morrisville State
